PlatformName,PlatformURL,FoodType,ServiceType,BusinessModelType,BusinessNameAvailable,BusinessAddressAvailable,FHRSShown,FHRSRequiredOnRegistration,ScrapingRestrictions,ScrapingRestrictionsURL,OfficialAPIURL,RobotsURL,RobotsAllowsSearch,Javascript,LastUpdated,LastUpdatedBy
HomeMadeFood,https://homemadefood.app/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
Hot Dinners,https://www.hot-dinners.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,No - no data access terms,https://www.hot-dinners.com/About-Us/About-us/hot-dinners-privacy-policy,No Official API,http://hot-dinners.com/robots.txt,Yes,No,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Deliveries/Cooked Food,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Deliveries/Cooked Food,Compilators,Social Media,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Food Activities,Compilators,Social Media,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Foodstuffs,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Foodstuffs,Compilators,Social Media,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
InYourArea,https://www.inyourarea.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,Yes,No mention,Needs license,https://www.inyourarea.co.uk/news/terms-and-conditions//,No Official API,https://www.inyourarea.co.uk/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Jaspers,http://www.jaspersonline.co.uk/,Food Activities,Sellers,Large Caterings,NA,NA,No,NA,No - no data access terms,http://www.jaspersonline.co.uk/terms-and-conditions,No Official API,http://www.jaspersonline.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
JustEat,https://www.just-eat.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,Yes,"Yes, but",Yes - specific,https://www.just-eat.co.uk/info/terms-and-conditions,https://developers.just-eat.com/docs/api-integration,https://www.just-eat.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Karma,https://karma.life/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
Kukd,https://www.kukd.com/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,No - if non-commercial,https://www.kukd.com/privacy-policy#link9,No Official API,https://www.kukd.com/robots.txt,Yes,No,29/08/20,Pivigo Team
LaBelleAssiette,https://labelleassiette.co.uk/,Food Activities,Intermediaries,Ordering & Logistics - Food Handling,Yes,No,No,No mention,Yes - indirect,http://terms.labelleassiette.co.uk/,No Official API,https://labelleassiette.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Londonist,https://londonist.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,No - no data access terms,https://londonist.com/london/uncategorized/cookies-and-privacy-policy-2018,No Official API,https://londonist.com/robots.txt,Yes,No,29/08/20,Pivigo Team
LondonPopUps,http://www.londonpopups.com/,Food Activities,Compilators,Listings,Yes,No,No,No mention,No - no data access terms,http://www.londonpopups.com/p/london-supper-clubs.html,No Official API,http://www.londonpopups.com/robots.txt,No,No,29/08/20,Pivigo Team
Luto,http://www.lutolondon.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,http://www.lutolondon.com/robots.txt,No ,No,29/08/20,Pivigo Team
MamSham,https://www.mamsham.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.mamsham.com/robots.txt,Yes,No,29/08/20,Pivigo Team
MeetUp,https://www.meetup.com/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,No,No,No mention,Yes - specific,https://help.meetup.com/hc/en-us/articles/360027447252,https://www.meetup.com/meetup_api/,https://www.meetup.com/robots.txtt,Yes,Yes,29/08/20,Pivigo Team
MindfulChef,https://www.mindfulchef.com/,Foodstuffs,Sellers,Recipe Boxes,NA,NA,No,NA,No - no data access terms,https://www.mindfulchef.com/info/terms-and-conditions,No Official API,https://www.mindfulchef.com/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Olio,https://olioex.com/,Foodstuffs,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
OneDelivery,https://one-delivery.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,No,No,No mention,No - no data access terms,https://one-delivery.co.uk/terms-and-conditions,No Official API,No robots,NA,No,29/08/20,Pivigo Team
OpenTable,https://www.opentable.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,Needs license,https://www.opentable.com/legal/terms-and-conditions,https://platform.opentable.com/documentation/,https://www.opentable.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Deliveries/Cooked Food,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Deliveries/Cooked Food,Compilators,Social Media,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Foodstuffs,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Foodstuffs,Compilators,Social Media,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
RangoonSisters,https://www.rangoonsisters.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.rangoonsisters.com/robots.txt,No ,No,29/08/20,Pivigo Team
RoamingHunger,https://roaminghunger.com/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Approximate area,No,No mention,Yes - specific,https://roaminghunger.com/pages/terms_and_conditions/,No Official API,https://roaminghunger.com/robots.txt,No,No,29/08/20,Pivigo Team
RoamingHunger,https://roaminghunger.com/,Food Activities,Compilators,Listings,Yes,Approximate area,No,No mention,Yes - specific,https://roaminghunger.com/pages/terms_and_conditions/,No Official API,https://roaminghunger.com/robots.txt,No,No,29/08/20,Pivigo Team
SecretTeaClub,https://www.secretteaparty.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,www.secretteaparty.com/robots.txt,No,No,29/08/20,Pivigo Team
Shpock,https://www.shpock.com/en-gb,Deliveries/Cooked Food,Intermediaries,Marketplaces - No Food Handling,Yes,Approximate area,No,No,Yes - specific,https://www.shpock.com/en-gb/terms-conditions,No Official API,https://www.shpock.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Shpock,https://www.shpock.com/en-gb,Deliveries/Cooked Food,Compilators,Social Media,Yes,Approximate area,No,No,Yes - specific,https://www.shpock.com/en-gb/terms-conditions,No Official API,https://www.shpock.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Shpock,https://www.shpock.com/en-gb,Foodstuffs,Intermediaries,Marketplaces - No Food Handling,Yes,Approximate area,No,No,Yes - specific,https://www.shpock.com/en-gb/terms-conditions,No Official API,https://www.shpock.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Shpock,https://www.shpock.com/en-gb,Foodstuffs,Compilators,Social Media,Yes,Approximate area,No,No,Yes - specific,https://www.shpock.com/en-gb/terms-conditions,No Official API,https://www.shpock.com/robots.txt,No,Yes,29/08/20,Pivigo Team
SouthWestKitchen,https://www.swksupperclub.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.swksupperclub.com/robots.txt,No,No,29/08/20,Pivigo Team
StreetFoodMarkets,https://streetfoodmarkets.co.uk/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Approximate area,Yes,Unclear,No - no data access terms,https://streetfoodmarkets.co.uk/terms-and-conditions/,No Official API,https://streetfoodmarkets.co.uk/robots.txt,Unclear,No,29/08/20,Pivigo Team
StreetFoodMarkets,https://streetfoodmarkets.co.uk/,Food Activities,Compilators,Listings,Yes,Approximate area,Yes,Unclear,No - no data access terms,https://streetfoodmarkets.co.uk/terms-and-conditions/,No Official API,https://streetfoodmarkets.co.uk/robots.txt,Unclear,No,29/08/20,Pivigo Team
TasteAtlas,https://www.tasteatlas.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Yes - specific,https://www.tasteatlas.com/terms,No Official API,https://www.tasteatlas.com/robots.txt,Yes,Yes,29/08/20,Pivigo Team
TheBoyWhoAtetheWorld,https://theboywhoatetheworld.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://theboywhoatetheworld.com/robots.txt,Yes,No,29/08/20,Pivigo Team
TheBoyWhoAtetheWorld,https://theboywhoatetheworld.com/,Food Activities,Compilators,Blogs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://theboywhoatetheworld.com/robots.txt,Yes,No,29/08/20,Pivigo Team
TheFeedFeed,https://thefeedfeed.com/,Food Activities,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://thefeedfeed.com/terms,No Official API,https://thefeedfeed.com/robots.txt,Yes,Yes,29/08/20,Pivigo Team
TheResident,https://www.theresident.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://www.archant.co.uk/articles/terms-conditions/,No Official API,https://theresident.co.uk/robots.txt,Unclear,No,29/08/20,Pivigo Team
TheSisterTable,https://www.thesistertable.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,https://www.thesistertable.com/privacy-policy,No Official API,https://www.thesistertable.com/robots.txt,No,No,29/08/20,Pivigo Team
ThreeBestRated,https://threebestrated.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://threebestrated.co.uk/terms-of-service,No Official API,https://threebestrated.co.uk/robots.txt,Unclear,No,29/08/20,Pivigo Team
TimeOut,https://www.timeout.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Yes - indirect,https://www.timeout.com/terms-of-use,No Official API,https://www.timeout.com/robots.txt,No,No,29/08/20,Pivigo Team
TimeOut,https://www.timeout.com/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,Yes - indirect,https://www.timeout.com/terms-of-use,No Official API,https://www.timeout.com/robots.txt,No,No,29/08/20,Pivigo Team
TimeOut,https://www.timeout.com/,Food Activities,Compilators,Listings,Yes,Yes,No,No mention,Yes - indirect,https://www.timeout.com/terms-of-use,No Official API,https://www.timeout.com/robots.txt,No,No,29/08/20,Pivigo Team
TooGoodToGo,https://toogoodtogo.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
Tripadvisor,https://www.tripadvisor.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No,Yes - specific,https://tripadvisor.mediaroom.com/us-terms-of-use#OLE_LINK4,https://developer-tripadvisor.com/content-api/,https://www.tripadvisor.com/robots.txt,No,No,29/08/20,Pivigo Team
Tripadvisor,https://www.tripadvisor.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No,Yes - specific,https://tripadvisor.mediaroom.com/us-terms-of-use#OLE_LINK4,https://developer-tripadvisor.com/content-api/,https://www.tripadvisor.com/robots.txt,No,No,29/08/20,Pivigo Team
Tripadvisor,https://www.tripadvisor.co.uk/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No,Yes - specific,https://tripadvisor.mediaroom.com/us-terms-of-use#OLE_LINK4,https://developer-tripadvisor.com/content-api/,https://www.tripadvisor.com/robots.txt,No,No,29/08/20,Pivigo Team
Tripadvisor,https://www.tripadvisor.co.uk/,Food Activities,Compilators,Listings,Yes,Yes,No,No,Yes - specific,https://tripadvisor.mediaroom.com/us-terms-of-use#OLE_LINK4,https://developer-tripadvisor.com/content-api/,https://www.tripadvisor.com/robots.txt,No,No,29/08/20,Pivigo Team
TruckStopToday,http://www.truckstoptoday.com/,Food Activities,Compilators,Listings,Yes,Approximate area,No,No mention,Yes - indirect,http://www.truckstoptoday.com/info/terms,No Official API,No robots,NA,No,29/08/20,Pivigo Team
UberEats,https://www.ubereats.com/gb,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - Food Handling,Yes,Yes,Yes,Unclear,Yes - specific,https://www.uber.com/legal/en/document/?country=great-britain&lang=en-gb&name=general-terms-of-use,https://developer.uber.com/docs/eats/introduction,https://www.ubereats.com/robots.txt,No,Yes,29/08/20,Pivigo Team
VisitLondon,https://www.visitlondon.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,No,No,No mention,Yes - indirect,https://www.visitlondon.com/things-to-do/food-and-drink/food-trucks,No Official API,https://www.visitlondon.com/robots.txt,No,No,29/08/20,Pivigo Team
WaterHouseProject,https://www.thewaterhouseproject.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.thewaterhouseproject.com/robots.txt,Yes,No,29/08/20,Pivigo Team
Yahmee,https://yahmee.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,No,No,No mention,No,https://yahmee.co.uk/term_condition,No Official API,No robots,NA,No,29/08/20,Pivigo Team
Yell,https://www.yell.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://www.yell.com/legal/data-protection-privacy-policy/,No Official API,https://www.yell.com/robots.txt,No,No,29/08/20,Pivigo Team
Yelp,https://www.yelp.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Yes - specific,https://terms.yelp.com/tos/en_gb/20200101_en_gb/,https://www.yelp.com/developers,https://www.yelp.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Yummit,https://yummit.co/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(pre-launch phase),(pre-launch phase),(pre-launch phase),Unclear,Yes - indirect,https://yummit.co/terms,No Official API,No robots,NA,No,29/08/20,Pivigo Team
Zomato,https://www.zomato.com/uk,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No,Needs license,https://www.zomato.com/conditions,https://developers.zomato.com/api,No robots,NA,No,29/08/20,Pivigo Team